WeatherPy_vacation,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,Atambua,ID,76.73,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
225,Kudahuvadhoo,MV,81.88,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
226,Wattegama,LK,77.92,light rain,6.7989,81.4808,
228,Umm Kaddadah,SD,82.62,overcast clouds,13.6017,26.6876,
235,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
237,Antalaha,MG,77.27,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
240,Tuy Hoa,VN,76.12,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
243,Lubango,AO,84.06,scattered clouds,-14.9172,13.4925,Hotel Serra da Chela
245,Labrea,BR,81.05,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
247,Kavieng,PG,82.42,light rain,-2.5744,150.7967,Nusa Island Retreat
250,Anloga,GH,89.82,overcast clouds,5.7947,0.8973,Pin Drop Hotel
251,Zambezi,ZM,88.07,broken clouds,-13.5432,23.1047,Royal Kutachika Lodge
253,Labuhan,ID,78.85,heavy intensity rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
254,Amboasary,MG,82.24,overcast clouds,-25.0333,46.3833,DISCOVERY AMBOASARY
262,Coromandel,BR,86.99,broken clouds,-18.4733,-47.2003,Hotel Dona Adélia
263,Barra Dos Coqueiros,BR,86.02,scattered clouds,-10.9089,-37.0386,Jangadeiro
265,Ambilobe,MG,79.12,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
269,Bandarbeyla,SO,80.01,overcast clouds,9.4942,50.8122,JABIR HOTEL
270,Tingo Maria,PE,79.11,broken clouds,-9.2895,-76.0088,Hospedaje Paraíso
273,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
276,Garowe,SO,85.46,scattered clouds,8.4054,48.4845,Curubo Hotel
279,Varadero,CU,75.96,broken clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
282,Padang,ID,77.05,light rain,-0.9492,100.3543,Mercure Padang
284,Buala,SB,80.47,light rain,-8.145,159.5921,Maringe Lagoon Lodge
286,Port Blair,IN,81.43,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
289,Sur,OM,76.55,broken clouds,22.5667,59.5289,Sur Plaza Hotel
290,Altamira,BR,89.69,broken clouds,-3.2033,-52.2064,Requinte Hotel
296,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
302,Bowen,AU,75.42,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
308,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
310,Jalu,LY,75.67,broken clouds,29.0331,21.5482,صاحبة الفخامة
317,Ghanzi,BW,89.76,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
321,San Pedro De Macoris,DO,87.39,broken clouds,18.4616,-69.2972,Apartahotel Guaraguao
326,Meulaboh,ID,76.06,overcast clouds,4.1363,96.1285,Kost Pria
329,Bac Lieu,VN,78.48,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
337,Sambava,MG,78.12,broken clouds,-14.2667,50.1667,Melrose
355,Nata,PA,76.87,overcast clouds,8.3333,-80.5167,Rey David
356,Qandala,SO,78.55,overcast clouds,11.472,49.8728,
359,Rio Negrinho,BR,81.97,clear sky,-26.2544,-49.5183,Pousada do Cassio
362,Ariquemes,BR,81.3,light rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
