WeatherPy_Database_csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Aklavik,CA,68.2191,-135.0107,-7.6,77,75,10.36,broken clouds
162,Saint-Philippe,RE,-21.3585,55.7679,80.19,77,62,5.28,broken clouds
163,Samarai,PG,-10.6167,150.6667,83.23,77,26,12.84,scattered clouds
164,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,86,100,16.78,overcast clouds
165,Upernavik,GL,72.7868,-56.1549,-0.06,75,19,6.33,few clouds
166,Farmington,US,36.7281,-108.2187,41.74,50,1,9.22,clear sky
167,Hamilton,US,39.1834,-84.5333,31.87,69,1,1.99,clear sky
168,Esperance,AU,-33.8667,121.9,57.04,69,59,9.37,broken clouds
169,Bluff,NZ,-46.6,168.3333,52.14,78,54,11.43,broken clouds
170,Jacqueville,CI,5.2052,-4.4146,87.71,73,10,10.8,clear sky
171,Marsa Matruh,EG,31.3525,27.2453,71.8,46,75,5.75,broken clouds
172,Curup,ID,-3.4667,102.5333,67.71,95,100,1.68,heavy intensity rain
173,Dunedin,NZ,-45.8742,170.5036,47.41,90,13,5.66,few clouds
174,Caxito,AO,-8.5785,13.6643,84.85,60,77,12.24,broken clouds
175,Faya,SA,18.3851,42.4509,69.91,48,30,1.57,scattered clouds
176,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,89,40,3.44,volcanic ash
177,Awjilah,LY,29.1081,21.2869,76.24,25,60,7.63,broken clouds
178,Baghdad,IQ,33.3406,44.4009,69.71,40,0,6.91,clear sky
179,Adrar,MR,20.5022,-10.0711,90.81,20,76,5.7,broken clouds
180,Noumea,NC,-22.2763,166.4572,73.38,89,71,7.85,broken clouds
181,Elko,US,41.0002,-115.5012,28.63,51,67,4.59,broken clouds
182,Bima,ID,-8.4667,118.7167,79.25,85,100,0.85,overcast clouds
183,Puerto Ayora,EC,-0.7393,-90.3518,73.36,72,14,8.37,few clouds
184,Aswan,EG,24.0934,32.907,78.1,25,0,6.91,clear sky
185,Junction City,US,39.0286,-96.8314,47.61,76,1,0.0,clear sky
186,Mineros,BO,-17.1167,-63.2333,85.59,48,99,8.57,overcast clouds
187,Bereda,ES,43.2686,-7.5406,50.41,92,100,8.01,overcast clouds
188,Salingogon,PH,13.4346,123.1905,76.19,91,29,4.32,scattered clouds
189,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,37,100,28.77,overcast clouds
190,Kibiti,TZ,-7.7218,38.9375,82.69,52,84,9.42,broken clouds
191,Angoche,MZ,-16.2325,39.9086,82.56,76,90,17.43,overcast clouds
192,Ballina,AU,-28.8667,153.5667,68.77,94,75,1.14,broken clouds
193,Nishihara,JP,26.1842,127.7558,65.48,59,75,17.27,broken clouds
194,Avera,US,33.194,-82.5271,43.92,35,0,10.13,clear sky
195,Port Lincoln,AU,-34.7333,135.8667,61.81,89,49,2.44,scattered clouds
196,Nome,US,64.5011,-165.4064,6.87,51,1,18.41,clear sky
197,Buin,CL,-33.7333,-70.75,83.05,24,0,8.77,clear sky
198,Buchanan,LR,5.8808,-10.0467,91.36,74,38,9.91,light rain
199,Leshukonskoye,RU,64.8989,45.7622,11.71,97,96,4.63,overcast clouds
200,Taksimo,RU,56.3444,114.8794,-15.47,89,15,0.47,few clouds
201,Jiazi,CN,22.8779,116.067,61.99,63,49,11.95,scattered clouds
202,Birao,CF,10.2849,22.7882,91.83,15,14,7.87,few clouds
203,Kaitangata,NZ,-46.2817,169.8464,44.2,96,47,5.79,scattered clouds
204,Zhigansk,RU,66.7697,123.3711,-34.58,100,99,5.19,overcast clouds
205,Inhambane,MZ,-23.865,35.3833,82.98,68,97,9.33,overcast clouds
206,Cherskiy,RU,68.75,161.3,-34.49,100,50,4.32,scattered clouds
207,Tongliao,CN,43.6125,122.2653,12.29,71,0,12.84,clear sky
208,Medyn,RU,54.9692,35.8586,26.53,66,35,4.76,scattered clouds
209,Kahului,US,20.8947,-156.47,76.84,80,20,5.75,few clouds
210,Ashoknagar,IN,24.5667,77.7167,68.32,33,5,6.71,clear sky
211,Haines Junction,CA,60.7522,-137.5108,-7.65,84,100,1.14,overcast clouds
212,Kinablangan,PH,7.6947,126.5503,78.15,88,100,4.76,overcast clouds
213,Elizabeth City,US,36.2946,-76.2511,42.03,61,1,3.0,clear sky
214,Bambous Virieux,MU,-20.3428,57.7575,79.05,69,40,6.91,scattered clouds
215,Bonavista,CA,48.6499,-53.1147,41.11,82,98,28.57,overcast clouds
216,Voyvozh,RU,62.892,54.9635,11.57,95,100,6.38,overcast clouds
217,Caravelas,BR,-17.7125,-39.2481,80.62,65,80,6.62,broken clouds
218,Lima,PE,-12.0432,-77.0282,73.9,72,90,9.22,overcast clouds
219,Buraydah,SA,26.326,43.975,72.05,38,1,10.8,clear sky
220,Chase,CA,50.8165,-119.6857,35.2,98,100,1.3,light snow
221,Port Hardy,CA,50.6996,-127.4199,41.0,100,90,3.44,light rain
222,Liverpool,GB,53.4106,-2.9779,50.29,89,75,5.99,broken clouds
223,Atambua,ID,-9.1061,124.8925,76.73,83,81,1.48,broken clouds
224,Margate,GB,51.3813,1.3862,50.04,77,83,1.99,broken clouds
225,Kudahuvadhoo,MV,2.6708,72.8944,81.88,73,100,16.33,overcast clouds
226,Wattegama,LK,6.7989,81.4808,77.92,94,100,5.32,light rain
227,Klaksvik,FO,62.2266,-6.589,47.32,83,99,27.11,overcast clouds
228,Umm Kaddadah,SD,13.6017,26.6876,82.62,12,91,15.19,overcast clouds
229,Pangnirtung,CA,66.1451,-65.7125,28.4,59,90,31.07,overcast clouds
230,Asfi,MA,32.2994,-9.2372,65.41,81,22,19.69,few clouds
231,Vilyuysk,RU,63.7553,121.6247,-29.02,100,7,3.44,clear sky
232,Helong,CN,42.5397,128.9972,13.41,70,86,15.79,overcast clouds
233,Evensk,RU,61.95,159.2333,11.64,73,100,11.59,overcast clouds
234,Touros,BR,-5.1989,-35.4608,90.5,60,29,15.79,scattered clouds
235,Oranjestad,AW,12.524,-70.027,85.95,66,20,18.41,few clouds
236,Krasnoarmeysk,RU,51.0239,45.6969,24.3,62,100,7.34,overcast clouds
237,Antalaha,MG,-14.9003,50.2788,77.27,70,93,7.16,overcast clouds
238,Aguimes,ES,27.9054,-15.4461,70.66,83,40,5.75,scattered clouds
239,Tasiilaq,GL,65.6145,-37.6368,24.96,69,89,8.16,overcast clouds
240,Tuy Hoa,VN,13.0833,109.3,76.12,90,100,13.31,overcast clouds
241,Haljala,EE,59.4336,26.2614,31.3,84,100,2.21,overcast clouds
242,Vostok,RU,46.4856,135.8833,7.68,92,100,11.45,light snow
243,Lubango,AO,-14.9172,13.4925,84.06,10,40,9.22,scattered clouds
244,Mvuma,ZW,-19.2792,30.5283,70.83,73,87,6.6,light rain
245,Labrea,BR,-7.2586,-64.7981,81.05,75,97,3.69,overcast clouds
246,Srednekolymsk,RU,67.45,153.6833,-29.79,100,70,5.19,broken clouds
247,Kavieng,PG,-2.5744,150.7967,82.42,79,99,15.84,light rain
248,Victoria,HK,22.2855,114.1577,64.33,61,93,1.01,overcast clouds
249,Hami,CN,42.8,93.45,26.82,64,30,4.23,scattered clouds
250,Anloga,GH,5.7947,0.8973,89.82,66,100,9.66,overcast clouds
251,Zambezi,ZM,-13.5432,23.1047,88.07,33,75,4.9,broken clouds
252,Longyearbyen,SJ,78.2186,15.6401,4.84,78,20,9.22,few clouds
253,Labuhan,ID,-6.8844,112.2051,78.85,87,100,10.4,heavy intensity rain
254,Amboasary,MG,-25.0333,46.3833,82.24,61,99,6.24,overcast clouds
255,Karla,EE,59.3723,24.9275,32.14,93,75,3.44,shower snow
256,Visnes,NO,59.3556,5.2242,48.58,87,75,14.97,broken clouds
257,Challans,FR,46.8436,-1.8749,49.91,46,1,23.44,clear sky
258,Show Low,US,34.2542,-110.0298,49.6,49,75,6.91,broken clouds
259,General Roca,AR,-39.0333,-67.5833,70.2,19,2,4.81,clear sky
260,Tapa,EE,59.2606,25.9586,31.39,93,100,1.45,overcast clouds
261,Ingham,US,42.6,-84.3833,28.65,70,1,3.44,clear sky
262,Coromandel,BR,-18.4733,-47.2003,86.99,43,71,1.01,broken clouds
263,Barra Dos Coqueiros,BR,-10.9089,-37.0386,86.02,62,40,16.11,scattered clouds
264,Clyde River,CA,70.4692,-68.5914,23.23,93,100,23.02,snow
265,Ambilobe,MG,-13.2,49.05,79.12,73,83,3.91,light rain
266,Nanortalik,GL,60.1432,-45.2371,26.64,52,64,3.13,broken clouds
267,Porterville,US,36.0652,-119.0168,44.58,100,1,0.0,mist
268,Fairbanks,US,64.8378,-147.7164,1.36,58,90,9.22,light snow
269,Bandarbeyla,SO,9.4942,50.8122,80.01,71,100,16.84,overcast clouds
270,Tingo Maria,PE,-9.2895,-76.0088,79.11,78,75,2.3,broken clouds
271,Anadyr,RU,64.75,177.4833,-14.3,76,0,8.95,clear sky
272,Barra Do Garcas,BR,-15.89,-52.2567,90.18,58,40,11.5,scattered clouds
273,Vila Velha,BR,-20.3297,-40.2925,82.35,73,20,4.0,few clouds
274,Lata,PT,40.1629,-8.3327,58.08,64,99,7.72,overcast clouds
275,Wajima,JP,37.4,136.9,48.06,76,100,31.59,light rain
276,Garowe,SO,8.4054,48.4845,85.46,30,44,5.32,scattered clouds
277,Marsaxlokk,MT,35.8419,14.5431,68.61,77,20,12.66,few clouds
278,Ipanguacu,BR,-5.4983,-36.855,96.82,25,63,9.8,broken clouds
279,Varadero,CU,23.1536,-81.2514,75.96,75,62,19.64,broken clouds
280,Northam,GB,51.0333,-4.2167,50.56,82,32,6.4,scattered clouds
281,Shumskiy,RU,54.8318,99.1328,21.24,89,96,4.63,overcast clouds
282,Padang,ID,-0.9492,100.3543,77.05,80,100,4.5,light rain
283,Vardo,NO,70.3705,31.1107,22.98,63,0,5.75,light snow
284,Buala,SB,-8.145,159.5921,80.47,83,71,8.77,light rain
285,Antigonish,CA,45.6169,-61.9986,55.92,95,100,1.99,heavy intensity rain
286,Port Blair,IN,11.6667,92.75,81.43,82,99,9.66,overcast clouds
287,Kemijarvi,FI,66.7131,27.4306,23.2,92,100,9.37,overcast clouds
288,Mabamba,TZ,-3.5983,30.5019,65.01,91,96,4.59,light rain
289,Sur,OM,22.5667,59.5289,76.55,45,58,2.95,broken clouds
290,Altamira,BR,-3.2033,-52.2064,89.69,66,75,8.05,broken clouds
291,Balkanabat,TM,39.5108,54.3671,56.48,49,0,1.81,clear sky
292,Lom Sak,TH,16.7798,101.2422,72.63,77,85,4.47,overcast clouds
293,Egvekinot,RU,66.3167,-179.1667,-3.28,65,4,7.99,clear sky
294,Mehamn,NO,71.0357,27.8492,24.98,83,100,17.98,overcast clouds
295,Marfino,RU,55.7028,37.3822,27.68,80,40,6.71,scattered clouds
296,Port-Gentil,GA,-0.7193,8.7815,80.56,78,40,10.36,scattered clouds
297,Imeni Poliny Osipenko,RU,52.4201,136.4853,31.1,89,100,25.75,light snow
298,Udayagiri,IN,20.1333,84.3833,68.97,87,9,1.48,clear sky
299,Churapcha,RU,62.0025,132.4325,-10.14,92,100,3.67,overcast clouds
300,Xai-Xai,MZ,-25.0519,33.6442,73.47,91,78,18.34,moderate rain
301,Knysna,ZA,-34.0363,23.0471,68.38,63,84,5.68,broken clouds
302,Bowen,AU,-20.0167,148.2333,75.42,79,100,6.71,overcast clouds
303,Karlovac,HR,45.4872,15.5478,48.67,66,54,1.01,broken clouds
304,Bilma,NE,18.6853,12.9164,91.27,12,1,7.45,clear sky
305,Beyneu,KZ,45.3167,55.2,48.72,66,14,7.63,few clouds
306,Bangui,CF,4.3612,18.555,90.23,39,83,3.87,broken clouds
307,Mogoytuy,RU,51.2833,114.9167,-3.46,90,5,3.8,clear sky
308,Belmonte,BR,-15.8631,-38.8828,79.3,82,98,6.13,overcast clouds
309,Kirkcudbright,GB,54.8383,-4.0491,46.94,76,75,9.33,broken clouds
310,Jalu,LY,29.0331,21.5482,75.67,25,78,7.94,broken clouds
311,Skibbereen,IE,51.55,-9.2667,44.4,63,12,2.55,few clouds
312,San Carlos De Bariloche,AR,-41.1456,-71.3082,60.55,31,20,10.36,few clouds
313,Richards Bay,ZA,-28.783,32.0377,71.51,72,39,17.56,light rain
314,Tagbac,PH,7.089,125.1567,73.72,86,98,4.0,overcast clouds
315,Baita,RO,46.0333,22.9,43.39,84,97,1.83,overcast clouds
316,Gao,ML,16.6362,1.637,94.77,12,3,12.77,clear sky
317,Ghanzi,BW,-21.5667,21.7833,89.76,6,2,10.54,clear sky
318,Chicama,PE,-7.8447,-79.1469,63.14,65,59,7.23,broken clouds
319,Tsagan Aman,RU,47.5639,46.7218,41.16,90,100,12.64,light rain
320,Lagoa,PT,39.05,-27.9833,65.82,87,13,17.05,few clouds
321,San Pedro De Macoris,DO,18.4616,-69.2972,87.39,68,74,7.99,broken clouds
322,Aykhal,RU,66.0,111.5,-25.83,100,76,8.14,broken clouds
323,Gazanjyk,TM,39.2446,55.5154,56.03,50,0,1.34,clear sky
324,Coquimbo,CL,-29.9533,-71.3436,62.69,74,90,7.14,overcast clouds
325,Arifwala,PK,30.294,73.0735,69.26,13,0,4.83,clear sky
326,Meulaboh,ID,4.1363,96.1285,76.06,89,100,7.96,overcast clouds
327,Rognan,NO,67.0953,15.3878,33.94,93,100,6.33,snow
328,Beringovskiy,RU,63.05,179.3167,-8.52,90,22,10.09,few clouds
329,Bac Lieu,VN,9.285,105.7244,78.48,87,87,12.01,overcast clouds
330,Flinders,AU,-34.5833,150.8552,66.2,85,100,3.91,overcast clouds
331,Havoysund,NO,70.9963,24.6622,25.03,84,99,6.42,overcast clouds
332,Ixtapa,MX,20.7,-105.2,72.23,83,40,4.61,scattered clouds
333,Domna,RU,51.8971,113.1573,-11.04,77,13,0.0,few clouds
334,Vrangel,RU,42.7297,133.0839,24.08,58,69,23.13,broken clouds
335,Kurilsk,RU,45.2333,147.8833,37.04,84,97,6.46,overcast clouds
336,Bulolo,PG,-7.2,146.65,69.87,98,91,2.77,overcast clouds
337,Sambava,MG,-14.2667,50.1667,78.12,71,61,6.78,broken clouds
338,Coolum Beach,AU,-26.5333,153.1,71.33,96,81,5.32,broken clouds
339,Albesti,RO,47.7,27.0667,43.21,61,23,5.14,few clouds
340,Idukki,IN,9.85,76.9667,69.89,97,91,1.52,heavy intensity rain
341,Russell,US,32.3502,-85.1999,43.38,58,20,0.0,few clouds
342,Honningsvag,NO,70.9821,25.9704,24.55,68,40,11.5,scattered clouds
